Date,Open,High,Low,Close,Adj Close,Volume
6/19/2015,20.75,21.15,20.209999,20.49,17.339342,14165800
6/22/2015,20.6,20.84,20.549999,20.68,17.500128,1047200
6/23/2015,20.84,20.879999,20.41,20.5,17.347807,1257900
6/24/2015,20.719999,20.719999,20.299999,20.309999,17.187019,1048700
6/25/2015,20.700001,20.700001,19.99,20,16.924688,1990000
6/26/2015,20.379999,20.379999,19.65,19.690001,16.662354,1210600
6/29/2015,19.549999,20.389999,19.049999,19.18,16.230776,613900
6/30/2015,19.059999,19.51,18.33,18.620001,15.756884,1219500
7/1/2015,18.65,18.940001,18.08,18.190001,15.393003,725800
7/2/2015,18.49,18.49,17.98,18.049999,15.274528,235700
7/6/2015,18,18.285,18,18.030001,15.257606,314000
7/7/2015,18.07,18.25,17.940001,18.16,15.367617,433400
7/8/2015,18.16,18.860001,17.870001,17.879999,15.130667,498800
7/9/2015,19,19,17.75,17.9,15.147592,814100
7/10/2015,17.99,18.48,17.879999,18.040001,15.266068,267300
7/13/2015,18.1,18.184999,17.92,18.07,15.291453,306200
7/14/2015,18.1,18.25,17.75,17.75,15.02066,888900
7/15/2015,17.6,17.82,17.299999,17.379999,14.707552,279700
7/16/2015,17.43,17.719999,17.25,17.290001,14.631391,295300
7/17/2015,17.5,17.6,17.25,17.4,14.724475,522800
7/20/2015,17.5,17.889999,17.459999,17.469999,14.783714,316400
7/21/2015,17.629999,17.700001,17.139999,17.16,14.521379,292200
7/22/2015,17.1,17.450001,16.75,16.809999,14.225199,430500
7/23/2015,16.9,17,16.6,16.82,14.233661,256600
7/24/2015,16.9,16.9,16.26,16.370001,13.852858,480400
7/27/2015,16.379999,17.030001,16.139999,16.91,14.309823,627700
7/28/2015,17.16,17.299999,16.43,17.02,14.402907,497800
7/29/2015,17,17.190001,16.870001,16.98,14.369058,132200
7/30/2015,16.92,17.174999,15.91,16.110001,13.632835,789100
7/31/2015,15.91,16.93,15.83,15.92,13.47205,327200
8/3/2015,15.86,16.295,15.36,15.51,13.125095,240900
8/4/2015,15.72,15.84,14.72,14.9,12.608891,349100
8/5/2015,15.25,16.455,15.24,16.23,13.734383,569300
8/6/2015,16.309999,16.309999,14.52,14.53,12.295784,442600
8/7/2015,14.43,15.76,13.75,14.1,11.931905,978100
8/10/2015,14.1,15.23,13.7,14.74,12.473493,874500
8/11/2015,14.49,14.88,14.03,14.22,12.033451,422000
8/12/2015,14.92,15.83,14.25,15.6,13.201255,1366200
8/13/2015,15.66,17.6,15.5,15.98,13.522823,894800
8/14/2015,15.82,16.469999,15.58,15.77,13.345115,338100
8/17/2015,15.79,16.209999,15.53,15.63,13.226643,109400
8/18/2015,15.73,15.8,15.05,15.31,12.955847,270500
8/19/2015,15.73,15.79,14.81,15.67,13.26049,274100
8/20/2015,15.6,15.92,15.254,15.7,13.285879,440900
8/21/2015,15.41,15.81,14.99,15.52,13.133556,602500
8/24/2015,14.75,15,14.43,14.53,12.295784,657500
8/25/2015,14.97,15.71,14.09,14.18,11.999602,1559400
8/26/2015,14.34,14.665,13.408,14.21,12.024988,703500
8/27/2015,14.45,14.9,14.16,14.23,12.041914,749900
8/28/2015,14.31,15.45,14.2,14.91,12.617353,437100
8/31/2015,14.83,15.198,14.77,14.85,12.56658,228200
9/1/2015,14.29,14.74,14.25,14.72,12.456569,310700
9/2/2015,14.62,14.925,14.62,14.9,12.608891,308800
9/3/2015,14.77,15.45,14.77,14.99,12.68505,538800
9/4/2015,14.84,15.2,14.7,14.79,12.515805,394900
9/8/2015,14.79,14.95,14.13,14.24,12.050377,197200
9/9/2015,14.09,14.65,14.02,14.1,11.931905,186300
