Date,Open,High,Low,Close,Adj Close,Volume
3/28/2014,13,14.35,11.77,13.98,13.98,9465500
3/31/2014,14.49,14.82,13.61,13.65,13.65,561000
4/1/2014,13.65,14.15,13.65,14.06,14.06,467300
4/2/2014,14.1,15.61,13.93,15.61,15.61,592100
4/3/2014,15.85,15.89,13.27,14.15,14.15,485200
4/4/2014,13.89,14.19,13,13.06,13.06,415300
4/7/2014,13.05,13.388,12.83,12.99,12.99,213600
4/8/2014,13.24,13.28,12.86,13.01,13.01,119000
4/9/2014,13.31,13.31,12.67,12.97,12.97,140500
4/10/2014,12.89,13.19,12.52,13.08,13.08,165100
4/11/2014,13.27,13.27,12.57,12.94,12.94,214000
4/14/2014,13.3,13.3,12.82,12.85,12.85,221500
4/15/2014,13.4,13.4,12,12.6,12.6,401600
4/16/2014,12.02,12.742,12.02,12.52,12.52,163800
4/17/2014,12.4,13.195,12.28,13.06,13.06,82200
4/21/2014,13.3,13.3,12.95,13.1,13.1,71800
4/22/2014,13.34,14.65,13.335,14.17,14.17,633700
4/23/2014,14.33,14.859,14.17,14.395,14.395,137000
4/24/2014,14.52,14.77,14.2,14.7,14.7,95300
4/25/2014,14.71,14.95,14.3,14.86,14.86,100100
4/28/2014,14.67,15.51,14.38,15.02,15.02,258600
4/29/2014,14.97,15.34,14.511,14.98,14.98,214800
4/30/2014,15.2,15.25,14.531,14.92,14.92,96900
5/1/2014,14.8,15.39,14.79,15.34,15.34,107300
5/2/2014,15.39,15.75,15.07,15.18,15.18,169100
5/5/2014,14.97,15.329,14.96,15.15,15.15,113300
5/6/2014,15,15.49,14.5,14.85,14.85,185300
5/7/2014,15.09,15.74,12.33,12.5,12.5,423900
5/8/2014,12.95,13.357,12.02,12.09,12.09,214900
5/9/2014,12.09,12.848,10.52,10.93,10.93,257200
5/12/2014,10.76,11.21,10.6,10.77,10.77,388200
5/13/2014,10.75,13.73,10.75,13.35,13.35,603600
5/14/2014,13.23,14.29,13,13.67,13.67,286100
5/15/2014,13.68,13.68,13.15,13.46,13.46,120800
5/16/2014,13.21,13.72,13.16,13.5,13.5,78700
5/19/2014,13.65,13.75,13.465,13.55,13.55,109900
5/20/2014,13.45,13.64,13.15,13.4,13.4,96700
5/21/2014,13.44,13.74,13.383,13.58,13.58,67800
5/22/2014,13.54,13.7,13.3,13.34,13.34,135200
5/23/2014,13.37,13.51,13.17,13.28,13.28,109700
5/27/2014,13.29,13.79,13.27,13.63,13.63,84100
5/28/2014,13.59,14.26,13.55,13.59,13.59,95500
5/29/2014,13.71,14.45,13.54,14.24,14.24,68800
5/30/2014,13.98,14.54,13.98,14.44,14.44,91600
6/2/2014,14.39,14.7,14.3,14.63,14.63,73800
6/3/2014,14.34,14.41,13.67,13.85,13.85,91600
6/4/2014,13.89,13.89,13.14,13.2,13.2,160900
6/5/2014,13.3,14,13.05,13.72,13.72,85500
6/6/2014,13.67,14.04,13.65,14.04,14.04,92300
6/9/2014,14.1,14.27,13.64,13.71,13.71,84600
6/10/2014,13.665,13.83,13.03,13.195,13.195,163600
6/11/2014,13.38,14.14,13.2,14.09,14.09,122500
6/12/2014,14.24,14.24,13.625,13.96,13.96,158700
6/13/2014,13.93,14.23,13.75,14.01,14.01,64900
6/16/2014,14,14.4,13.86,13.95,13.95,103800
6/17/2014,13.97,14.69,13.91,14.61,14.61,140600
6/18/2014,14.57,14.6,14.12,14.56,14.56,169500
6/19/2014,14.6,14.79,14.25,14.79,14.79,81800
6/20/2014,14.83,15.89,14.64,15.35,15.35,546500
6/23/2014,15.31,16.75,15.31,16.620001,16.620001,207500
6/24/2014,16.65,17.58,16.4,16.610001,16.610001,565700
6/25/2014,16.639999,16.82,16.290001,16.639999,16.639999,191800
6/26/2014,16.629999,16.84,16.32,16.459999,16.459999,219500
6/27/2014,16.459999,16.77,15.443,15.47,15.47,1493200
6/30/2014,15.7,16.91,15.25,16.809999,16.809999,230600
7/1/2014,16.950001,16.950001,15.81,16.08,16.08,128600
7/2/2014,16.02,17.33,16.02,16.65,16.65,207600
7/3/2014,16.65,17.01,16.33,16.6,16.6,59400
7/7/2014,16.610001,16.66,15.6,15.64,15.64,107600
7/8/2014,15.7,15.86,14.39,14.77,14.77,367100
7/9/2014,14.76,14.76,13.78,14.13,14.13,252500
7/10/2014,13.74,14.36,13.4,14.31,14.31,237100
7/11/2014,14.33,14.69,14.1,14.45,14.45,155500
